route,stop_id
A,22258
A,22169
A,22000
A,22005
A,22007
A,22011
A,22031
A,22033
A,22076
A,22075
A,22073
A,22073
A,22234
A,22237
A,22070
A,22300
A,22067
A,22235
A,22066
A,22243
A,22061
A,22062
B,22274
B,22230
B,22185
B,22189
B,22188
B,22186
B,22191
B,22193
B,22194
B,22195
B,22192
B,22187
B,22190
B,22292
B,22179
B,22167
D,22256
D,22239
D,22361
D,22225
D,22229
D,22226
D,22227
D,22228
D,22208
D,22210
D,22211
D,22223
D,22224
D,22316
D,22240
D,22173
D,22256
E,22274
E,22014
E,22016
E,22018
E,22020
E,22027
E,22117
E,22116
E,22115
E,22112
E,22099
E,22100
E,22101
E,22233
E,22118
E,22122
E,22019
E,22017
E,22015
E,22013
E,22167
F,22274
F,22165
F,22163
F,22161
F,22314
F,22145
F,22126
F,22133
F,22132
F,22131
F,22130
F,22129
F,22128
F,22127
F,22312
F,22313
F,22113
F,22114
F,22123
F,22125
F,22148
F,22162
F,22164
F,22166
F,22167
G,22273
G,22160
G,22301
G,22157
G,22153
G,22154
G,22134
G,22136
G,22139
G,22140
G,22142
G,22144
G,22143
G,22141
G,22138
G,22137
G,22135
G,22155
G,22156
G,22158
G,22302
G,22159
G,22167
J,22256
J,22175
J,22160
J,22301
J,22157
J,22153
J,22154
J,22134
J,22136
J,22139
J,22140
J,22142
J,22144
K,22274
K,22178
K,22225
K,22229
K,22226
K,22227
K,22228
K,22208
K,22210
K,22211
K,22216
K,22217
K,22220
K,22221
K,22177
K,22167
L,22258
L,22169
L,22000
L,22013
L,22022
L,22024
L,22121
L,22119
L,22111
L,22105
L,22102
L,22094
L,22357
L,22092
L,22106
L,22260
L,22249
L,22294
L,22261
L,22250
L,22081
L,22082
L,22085
L,22091
L,22088
L,22087
L,22280
L,22281
L,22103
L,22104
L,22110
L,22118
L,22120
L,22023
L,22014
L,22001
L,22168
L,22256
M,22272
M,22014
M,22002
M,22004
M,22035
M,22295
M,22296
M,22318
M,22045
M,22038
M,22036
M,22034
M,22242
M,22003
M,22013
M,22021
M,22167
O,22272
O,22014
O,22005
O,22007
O,22011
O,22031
O,22033
O,22076
O,22075
O,22073
O,22234
O,22237
O,22070
O,22300
O,22067
O,22235
O,22066
O,22243
O,22282
O,22326
O,22283
O,22071
O,22072
O,22074
O,22281
O,22103
O,22325
O,22032
O,22030
O,22012
O,22009
O,22013
O,22021
O,22167
P,22272
P,22025
P,22028
P,22319
P,22076
P,22039
P,22297
P,22174
P,22254
P,22255
P,22048
P,22051
P,22054
P,22056
P,22057
P,22060
P,22244
P,22363
P,22362
P,22097
P,22113
P,22114
P,22123
P,22125
P,22147
P,22149
P,22153
P,22154
P,22196
P,22199
P,22200
P,22203
P,22205
P,22208
P,22210
P,22211
P,22223
P,22224
P,22316
P,22177
P,22167
Q,22272
Q,22178
Q,22225
Q,22494
Q,22495
Q,22212
Q,22209
Q,22207
Q,22206
Q,22204
Q,22202
Q,22201
Q,22198
Q,22197
Q,22155
Q,22150
Q,22146
Q,22124
Q,22115
Q,22112
Q,22098
Q,22096
Q,22364
Q,22079
Q,22245
Q,22243
Q,22059
Q,22058
Q,22055
Q,22053
Q,22052
Q,22047
Q,22046
Q,22043
Q,22042
Q,22040
Q,22077
Q,22078
Q,22317
Q,22029
Q,22026
Q,22021
Q,22167
V,22273
V,22176
V,22239
V,22361
V,22286
V,22288
V,22305
W,22257
W,22169
W,22000
W,22002
W,22004
W,22035
W,22037
W,22041
W,22297
W,22174
W,22254
W,22255
W,22045
W,22038
W,22036
W,22034
W,22242
W,22003
W,22001
W,22168
W,22256
X,22272
X,22176
X,22285
X,807735
X,807734
X,22175
X,22167
Z,22274
Z,22014
Z,22005
Z,22007
Z,22011
Z,22031
Z,22033
Z,22076
Z,22075
Z,22073
Z,22234
Z,22237
Z,22070
Z,22300
Z,22067
Z,22235
Z,22066
Z,22243
Z,22282
Z,22326
Z,22283
Z,22071
Z,22072
Z,22074
Z,22077
Z,22078
Z,22032
Z,22030
Z,22012
Z,22009
Z,22013
Z,22021
Z,22167