stop_id,node_id
22043,2849810514
22358,2849805223
22105,3954294407
22175,5598639595
22174,3119663186
22177,2599137935
22176,2607436578
22078,1190339479
22079,2580285987
22173,2276473527
22172,366763830
22074,2579936805
22075,2579936421
22076,2579936417
22077,2560323391
22070,5554742310
22071,4595133310
22072,2578985048
22073,1918186801
22081,95713018
22121,95720460
22036,95715556
22037,95715556
807737,2283899823
807735,95709746
22048,5352536590
22188,95713476
22189,95713942
22367,4449717137
22168,273245111
22039,2432704005
22268,2405677676
22169,566900815
22185,95718672
22186,95712925
22187,95714016
22362,2580279694
22199,2312165182
22009,5274411946
22167,272048015
22164,95718668
22165,5027298040
22162,95719967
22163,95718668
22160,5027298044
22161,95719967
22001,95712762
22000,95712762
22003,95717604
22002,95717425
22005,2584424865
22004,95719227
22007,5674148946
22006,95717425
22128,95717929
22217,4069367849
22272,271794589
22273,5598618125
22274,5598618125
807734,265674141
807736,265674141
22327,2581960342
22129,95715787
22153,3076146959
22018,5674148941
22019,573919278
22157,95713500
22156,95719474
22155,5439130117
22154,95719103
22012,5674148800
22013,95713485
22159,559739124
22011,575319453
22016,95711355
22017,5674148942
22014,95713485
22015,95711355
22196,3935242279
22348,95715693
22179,559341578
22178,5027298051
22364,2580285003
22190,95715714
22366,564464445
22082,95717308
22085,95711387
22361,3937107151
22249,95717345
22363,2580285968
22088,1834815892
22245,2580285993
22244,95714170
22243,3952968558
22242,3900962592
22240,1941071656
22027,95709829
22026,5674148933
22025,5674148934
22024,95713321
22229,564442932
22022,95713487
22021,95714499
22020,95718594
22225,5674107548
22224,95712924
22227,4449717149
22226,95719198
22221,573992110
22220,267567432
22029,498524166
22028,498524158
22228,564464445
22148,95711206
22149,95722271
22144,95718742
22145,3935230507
22146,95711206
22147,95711206
22140,2853084955
22141,2853084955
22142,256038126
22143,4005153480
22496,3957570147
22497,95715543
22494,95712924
22495,2849846600
22330,282545493
22062,597474378
22498,95715546
22092,1834909992
22313,95718598
22312,95718600
22096,2580278629
22097,2581501095
22317,498524172
22316,5674107548
22250,1997141665
22318,597031354
22098,2581501073
22099,1834910071
22254,95712807
22255,95711280
22256,5674111323
22257,5674111323
22030,95711362
22031,95711362
22032,4924139009
22033,271823761
22034,596986226
22035,3900961309
22238,5554742328
22239,436326295
22236,95708605
22237,5554742305
22234,5554742300
22235,1897585123
22233,429270478
22230,559341578
22139,95718748
22138,95718750
22973,1897530240
22131,575199593
22130,95715889
22133,575168935
22132,575169101
22135,366756982
22134,575169098
22137,95710465
22136,366757108
22261,2447793859
22023,95713321
22260,95717967
22038,95715558
22302,95719475
22300,599177597
22301,559308544
22352,5398189131
22304,5674119320
22305,3936513778
22209,95715286
22208,564464462
22203,5398417042
22202,3935255037
22201,3935255015
22200,5674124848
22207,564464462
22206,364125326
22205,364125326
22204,5398417042
22283,95712140
22282,5553493395
22281,3534592785
22280,2558584690
22287,3937105639
22286,3937107117
22285,562412582
22042,256205791
22122,2581914786
22123,4223226711
22120,95720460
22288,1783152169
22126,272954618
22127,95718604
22124,4223226711
22125,95711204
22150,95722843
22339,2430687220
22338,2405677633
22336,95719092
22335,2405677604
22333,95711148
22332,2405677559
22331,1834909953
22053,95715577
22117,4580676107
22116,95707022
22115,95718585
22114,95718585
22113,265413593
22112,2580278641
22111,429270474
22110,5674218701
22357,395032653
22119,429270479
22118,429270479
22056,95715582
22057,366764149
22054,95715578
22055,2432065144
22052,95715572
22299,1897585132
22051,2432065092
22294,256086279
22295,2432065135
22296,3283178246
22297,95712801
22290,95712724
22291,1897585243
22058,395030214
22059,599381072
22258,530445028
22158,95713500
22328,256195238
22329,95717345
22091,95717702
22292,95718672
22293,1897585161
22324,2405677646
22325,95711574
22326,256219131
22314,95711206
22100,2580189228
22101,95719855
22102,577481841
22103,2581548134
22104,429270459
22094,5439281188
22106,95718049
22349,3935230544
22346,95717929
22347,95715787
22344,2849805223
22345,95718600
22342,95718211
22343,95715546
22340,2405677649
22063,95715543
22319,498524172
22061,5398189131
22060,2432065119
22067,1897585102
22066,1897585181
22065,1897585179
22064,366763831
22069,2578986092
22068,2578995413
22289,1783152166
22223,95721804
22045,2432065089
22166,5027298040
22359,3957570467
22047,366761718
22087,2558584691
22216,95722987
22046,95712808
22210,95721871
22211,95721152
22212,95721868
22198,3935230614
22197,3935230640
22041,95715559
22195,95718756
22194,95711706
22193,1919602452
22192,256192375
22191,256192375
22040,3283186569